link,event_title,Location,Date,event_details
https://web.archive.org/web/20230118182612/https://www.conservative.ca/events/,Montréal Fundraising Event with Pierre Poilievre,"Villa Rosa, 1980 René Lévesque Ouest, Montréal, QC H3H 1R6","January 16th, 2023","January 16th from 7:30 – 9:00 PM ET; Villa Rosa, 1980 René Lévesque Ouest, Montréal, QC H3H 1R6; Ticket: $1700; Organizer: Agop Evereklian; [email protected]; Event in support of the Conservative Party of Canada.;"
https://web.archive.org/web/20230314152016/https://www.conservative.ca/events/,Vancouver Fundraiser with Pierre Poilievre,"837 W Hastings St, Vancouver, BC V6C 1B6","March 14th, 2023","Date: March 14th, 2023; Time: 7:30 PM – 9:30 PM PT; Location: 837 W Hastings St, Vancouver, BC V6C 1B6; Maximum donation: $1700; Event organized by Chief Opposition Whip Hon. Kerry-Lynne D. Findlay, PC, KC: [email protected];"
https://web.archive.org/web/20230314152016/https://www.conservative.ca/events/,North Vancouver Island Fundraiser with Pierre Poilievre,"1441 East Island Hwy, Nanoose Bay, BC","Wednesday March 15th, 2023","Date: Wednesday March 15th, 2023; Time: 5:30 pm – 7:30 PM PT; Location: 1441 East Island Hwy, Nanoose Bay, BC; Maximum donation $1700; Event organized: Kris McNichol: [email protected]; All tickets must be purchased prior to March 15 at 4:00PM PT;"
https://web.archive.org/web/20230316034203/https://www.conservative.ca/events/,Vancouver Fundraiser with Pierre Poilievre,"837 W Hastings St, Vancouver, BC V6C 1B6","March 14th, 2023","Date: March 14th, 2023; Time: 7:30 PM – 9:30 PM PT; Location: 837 W Hastings St, Vancouver, BC V6C 1B6; Maximum donation: $1700; Event organized by Chief Opposition Whip Hon. Kerry-Lynne D. Findlay, PC, KC: [email protected];"
https://web.archive.org/web/20230316034203/https://www.conservative.ca/events/,North Vancouver Island Fundraiser with Pierre Poilievre,"1441 East Island Hwy, Nanoose Bay, BC","Wednesday March 15th, 2023","Date: Wednesday March 15th, 2023; Time: 5:30 pm – 7:30 PM PT; Location: 1441 East Island Hwy, Nanoose Bay, BC; Maximum donation $1700; Event organized: Kris McNichol: [email protected]; All tickets must be purchased prior to March 15 at 4:00PM PT;"
https://web.archive.org/web/20230405174355/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre,"Banff, AB"," April 11, 2023","Date:  April 11, 2023; Time: 5:30 – 8:00 pm MT; Location: Banff, AB; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230405174355/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre,"Red Deer, AB"," April 12, 2023","Date:  April 12, 2023; Time: 6:00 pm – 8:00 pm MT; Location: Red Deer, AB; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230405174355/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre,"Edmonton, AB"," April 13, 2023","Date:  April 13, 2023; Time: 5:30 – 8:00 pm MT; Location: Edmonton, AB; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230417152157/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Arlington Estate, Vaughn, ON  L4H 4X1"," April 20, 2023","Date:  April 20, 2023; Time: 5:30 –  8:00 pm ET; Location: Arlington Estate, Vaughn, ON  L4H 4X1; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230502055235/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Arlington Estate, Vaughn, ON  L4H 4X1"," April 20, 2023","Date:  April 20, 2023; Time: 5:30 –  8:00 pm ET; Location: Arlington Estate, Vaughn, ON  L4H 4X1; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230502055235/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Private Residence, Mississauga, ON L5H 3M4","April 27, 2023","Date: April 27, 2023; Time: 5:30 – 8:00 pm ET; Location: Private Residence, Mississauga, ON L5H 3M4; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230506154547/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Arlington Estate, Vaughn, ON  L4H 4X1"," April 20, 2023","Date:  April 20, 2023; Time: 5:30 –  8:00 pm ET; Location: Arlington Estate, Vaughn, ON  L4H 4X1; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230506154547/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Private Residence, Mississauga, ON L5H 3M4","April 27, 2023","Date: April 27, 2023; Time: 5:30 – 8:00 pm ET; Location: Private Residence, Mississauga, ON L5H 3M4; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
